name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;234;0;488;3077;1030;3077;1053;0
header;188;164;188;202;1837;202;1837;164
A;995;224;995;250;1012;250;1012;224
A;1048;632;1048;632;1048;632;1048;632
A;626;766;626;766;626;766;626;766
B;573;1293;573;1309;582;1309;582;1293
A;534;1376;534;1376;535;1376;535;1376
A;431;1422;431;1422;431;1422;431;1422
C;994;1573;994;1603;1017;1603;1017;1573
D;1003;2247;1003;2273;1023;2273;1023;2247
B;608;2320;608;2336;618;2336;618;2320
A;1031;2671;1031;2674;1033;2674;1033;2671
