name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;646;0;623;3079;1059;3079;1036;0
header;199;121;199;157;1840;157;1840;121
A;1003;181;1003;212;1027;212;1027;181
B;1007;852;1007;883;1030;883;1030;852
A;1022;934;1022;936;1024;936;1024;934
C;1009;1595;1009;1623;1030;1623;1030;1595
B;686;2039;686;2055;695;2055;695;2039
D;1013;2264;1013;2292;1033;2292;1033;2264
A;891;2315;891;2331;900;2331;900;2315
A;716;2404;716;2420;724;2420;724;2404
A;987;2452;987;2468;995;2468;995;2452
B;746;2770;746;2789;761;2789;761;2770
